"SYMBOL ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","LTP ","CHNG ","%CHNG ","VOLUME (shares)","VALUE ","52W H ","52W L ","365 D % CHNG  17-Jul-2020","30 D % CHNG  18-Jun-2021"
"POLYCAB","1,860.00","1,870.00","1,796.75","1,858.50","1,807.00","-51.50","-2.77",466123,"853,881,401.24","2,033.00","798.00","126.83","-5.06"
"LAURUSLABS","654.45","660.80","624.00","651.15","633.00","-18.15","-2.79",3466194,"2,208,970,774.26","1,550.00","252.00","-10.71","0.07"
"PFC","127.90","128.25","123.50","127.80","124.00","-3.80","-2.97",3804996,"477,412,848.12","140.50","80.30","54.53","3.48"
"ADANIPORTS","682.80","686.30","660.35","682.80","662.35","-20.45","-3.00",7133113,"4,794,878,558.60","901.00","298.00","120.69","-4.13"
"IBULHSGFIN","286.00","289.85","275.40","285.15","276.45","-8.70","-3.05",17151955,"4,846,284,885.25","313.70","127.75","31.95","5.07"
"COROMANDEL","922.50","923.30","882.50","914.20","884.90","-29.30","-3.20",1235342,"1,108,509,436.86","956.00","682.00","14.34","-1.63"
"AXISBANK","750.50","756.00","729.10","756.30","731.65","-24.65","-3.26",15441543,"11,446,970,241.33","799.00","400.15","69.73","-0.66"
"CIPLA","952.50","958.50","909.00","950.55","917.15","-33.40","-3.51",3366104,"3,112,501,724.64","997.00","644.25","42.71","-0.68"
"RECLTD","150.90","151.15","145.00","150.75","145.30","-5.45","-3.62",2360395,"348,111,054.60","167.80","91.80","41.62","5.16"
"ADANITRANS","920.00","945.00","899.90","939.70","901.00","-38.70","-4.12",74722,"67,992,536.68","1,644.95","221.50","-","-21.23"
"LUPIN","1,169.50","1,172.95","1,095.20","1,171.75","1,115.00","-50.25","-4.31",2687649,"3,018,310,456.47","1,267.65","828.40","37.24","1.68"
"AUROPHARMA","954.10","956.85","901.20","952.80","908.25","-44.55","-4.68",3085996,"2,837,480,742.12","1,063.90","738.05","17.54","0.26"
"RAMCOCEM","1,132.70","1,132.70","1,027.00","1,123.15","1,063.00","-60.15","-5.36",1691159,"1,813,700,381.14","1,132.70","664.05","62.99","8.23"
"GLENMARK","635.50","635.50","585.05","626.40","592.00","-34.40","-5.49",5778251,"3,490,410,299.06","690.95","414.00","47.32","-3.09"
"DRREDDY","5,438.00","5,444.95","4,780.00","5,411.25","4,853.20","-558.05","-10.31",5873821,"29,180,437,869.48","5,614.60","3,962.95","33.09","1.92"
"APLLTD","850.00","869.00","804.00","909.80","808.50","-101.30","-11.13",5074657,"4,192,681,613.40","1,145.00","804.00","-7.18","-7.28"
