"SYMBOL ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","LTP ","CHNG ","%CHNG ","VOLUME (shares)","VALUE ","52W H ","52W L ","365 D % CHNG  17-Jul-2020","30 D % CHNG  18-Jun-2021"
"SYNGENE","634.10","642.50","621.00","628.45","623.00","-5.45","-0.87",398823,"253,264,569.69","700.00","443.00","38.09","7.58"
"EICHERMOT","2,550.00","2,559.95","2,518.00","2,550.40","2,527.95","-22.45","-0.88",341346,"863,950,139.46","3,037.00","2,006.67","-87.89","-6.93"
"PETRONET","217.00","218.10","214.50","217.00","215.05","-1.95","-0.90",3141777,"678,843,756.39","275.35","207.25","-7.46","-4.76"
"ADANIPORTS","671.00","671.00","657.95","665.40","659.25","-6.15","-0.92",4572153,"3,037,784,174.73","901.00","308.05","108.85","-7.10"
"VBL","765.00","765.00","748.00","759.25","752.00","-7.25","-0.95",220693,"165,826,513.27","918.40","430.90","8.20","4.10"
"GODREJIND","545.50","550.00","539.00","545.25","539.85","-5.40","-0.99",84641,"46,190,286.52","611.55","350.10","52.80","-5.99"
"HEROMOTOCO","2,784.80","2,784.80","2,740.00","2,777.70","2,750.00","-27.70","-1.00",611448,"1,687,431,389.04","3,629.05","2,620.75","-2.24","-5.64"
"CIPLA","894.35","899.95","872.00","889.90","881.00","-8.90","-1.00",4929314,"4,348,295,758.82","997.00","644.25","34.30","-7.60"
"MGL","1,185.00","1,185.00","1,102.35","1,119.25","1,107.95","-11.30","-1.01",2702433,"3,073,909,440.18","1,284.40","779.65","11.98","-2.78"
"WHIRLPOOL","2,179.85","2,188.05","2,080.00","2,171.05","2,142.55","-23.50","-1.08",76412,"163,161,015.36","2,787.00","1,980.10","-0.73","-1.72"
"DIVISLAB","4,908.90","4,934.40","4,824.20","4,890.60","4,835.80","-54.80","-1.12",658995,"3,222,676,658.55","4,944.75","2,332.00","108.86","13.36"
"EXIDEIND","177.30","177.80","174.00","176.50","174.50","-2.00","-1.13",2412829,"422,606,999.35","219.30","150.40","14.54","-3.76"
"EMAMILTD","559.90","566.00","541.25","555.30","549.00","-6.30","-1.13",4141728,"2,257,200,342.72","578.50","236.00","129.23","1.70"
"HINDUNILVR","2,361.40","2,371.40","2,330.00","2,361.40","2,332.00","-29.40","-1.25",1012663,"2,376,639,047.96","2,533.95","2,000.05","5.30","-4.02"
"INDIGO","1,675.00","1,678.20","1,640.30","1,667.45","1,646.15","-21.30","-1.28",551479,"913,072,750.72","1,860.00","875.25","82.37","-3.59"
"DRREDDY","4,750.00","4,765.00","4,660.00","4,731.75","4,669.00","-62.75","-1.33",1086936,"5,107,164,444.48","5,614.60","4,007.35","16.79","-12.44"
"ALKEM","3,385.00","3,425.10","3,303.15","3,370.70","3,325.00","-45.70","-1.36",193316,"650,811,846.12","3,558.90","2,415.10","36.88","7.69"
"COALINDIA","144.05","144.65","141.90","144.05","142.05","-2.00","-1.39",8237916,"1,176,127,267.32","165.00","109.55","10.43","-2.14"
"ITC","209.10","210.20","205.65","209.10","206.00","-3.10","-1.48",15603733,"3,242,455,717.40","239.20","163.35","7.01","2.70"
"TRENT","926.50","933.15","910.50","926.30","912.00","-14.30","-1.54",358868,"331,181,333.80","947.95","542.00","68.57","5.10"
"ATGL","932.00","938.00","904.00","933.40","918.25","-15.15","-1.62",163673,"150,160,157.12","1,679.00","143.10","-","-17.39"
"BAJAJ-AUTO","3,827.80","3,827.80","3,750.00","3,818.50","3,756.25","-62.25","-1.63",355185,"1,345,508,265.15","4,361.40","2,822.45","22.41","-8.72"
"CONCOR","646.15","646.15","628.05","639.40","628.80","-10.60","-1.66",1170610,"744,519,666.10","748.00","351.00","41.15","-8.85"
"GODREJCP","1,004.00","1,007.85","982.10","1,000.95","984.15","-16.80","-1.68",519303,"514,515,026.34","1,010.00","641.00","47.75","15.08"
"TORNTPHARM","3,100.00","3,101.35","3,006.20","3,084.70","3,032.70","-52.00","-1.69",142879,"434,296,437.19","3,144.00","2,282.30","34.63","5.06"
"IPCALAB","2,176.55","2,188.55","2,124.15","2,176.55","2,139.65","-36.90","-1.70",63573,"136,817,996.22","2,460.00","1,715.00","25.58","8.02"
"LUPIN","1,103.50","1,110.00","1,077.55","1,102.95","1,084.00","-18.95","-1.72",1395326,"1,519,370,481.40","1,267.65","839.00","31.12","-5.27"
"AMARAJABAT","708.75","708.90","693.15","713.40","695.00","-12.40","-1.75",1991097,"1,393,787,810.97","1,025.55","675.10","2.97","-4.99"
"IDEA","8.35","8.60","8.15","8.35","8.20","-0.15","-1.80",208357478,"1,741,868,516.08","13.80","7.60","3.73","-20.10"
"UBL","1,460.60","1,470.00","1,409.00","1,443.55","1,415.00","-28.55","-1.98",1011279,"1,442,832,200.46","1,498.95","897.00","48.81","0.97"
"APOLLOTYRE","222.00","223.20","215.60","220.90","216.35","-4.55","-2.06",5460444,"1,185,626,205.72","261.25","106.70","99.46","-3.56"
"APLLTD","805.00","805.00","775.00","795.80","779.30","-16.50","-2.07",890239,"698,810,907.83","1,145.00","775.00","-18.62","-20.55"
"POWERGRID","171.00","173.55","167.15","228.10","167.55","-3.55","-2.07",21457249,"3,625,202,218.55","188.63","115.95","25.40","-1.62"
